id,text,aspects,category
83,The hardware is disappointing. The design is decent. The GPU is fair. The mousepad is standard.,"{'term':array(['hardware','design','GPU','mousepad'],dtype=object),'polarity':array(['negative','neutral','neutral','neutral'],dtype=object),'from':array([4,35,57,74],dtype=int16),'to':array([12,41,60,82],dtype=int16)}","{'category':array(['hardware','design','GPU','mousepad'],dtype=object),'polarity':array(['negative','neutral','neutral','neutral'],dtype=object)}"
84,The GPU is excellent. The hardware is fair. The RAM is adequate. The software is bad.,"{'term':array(['GPU','hardware','RAM','software'],dtype=object),'polarity':array(['positive','neutral','neutral','negative'],dtype=object),'from':array([4,26,48,69],dtype=int16),'to':array([7,34,51,77],dtype=int16)}","{'category':array(['GPU','hardware','RAM','software'],dtype=object),'polarity':array(['positive','neutral','neutral','negative'],dtype=object)}"
85,The hardware is average. The RAM is excellent.,"{'term':array(['hardware','RAM'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,29],dtype=int16),'to':array([12,32],dtype=int16)}","{'category':array(['hardware','RAM'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
86,The RAM is amazing. The keyboard is great. The hardware is adequate. The screen is amazing.,"{'term':array(['RAM','keyboard','hardware','screen'],dtype=object),'polarity':array(['positive','positive','neutral','positive'],dtype=object),'from':array([4,24,47,73],dtype=int16),'to':array([7,32,55,79],dtype=int16)}","{'category':array(['RAM','keyboard','hardware','screen'],dtype=object),'polarity':array(['positive','positive','neutral','positive'],dtype=object)}"
87,The software is unpleasant. The keyboard is average. The design is disappointing. The screen is unpleasant.,"{'term':array(['software','keyboard','design','screen'],dtype=object),'polarity':array(['negative','neutral','negative','negative'],dtype=object),'from':array([4,32,57,86],dtype=int16),'to':array([12,40,63,92],dtype=int16)}","{'category':array(['software','keyboard','design','screen'],dtype=object),'polarity':array(['negative','neutral','negative','negative'],dtype=object)}"
88,The mousepad is adequate. The battery is good.,"{'term':array(['mousepad','battery'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,30],dtype=int16),'to':array([12,37],dtype=int16)}","{'category':array(['mousepad','battery'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
89,The screen is excellent. The hardware is poor. The battery is excellent.,"{'term':array(['screen','hardware','battery'],dtype=object),'polarity':array(['positive','negative','positive'],dtype=object),'from':array([4,29,51],dtype=int16),'to':array([10,37,58],dtype=int16)}","{'category':array(['screen','hardware','battery'],dtype=object),'polarity':array(['positive','negative','positive'],dtype=object)}"
90,The mousepad is adequate. The design is good. The screen is good. The keyboard is standard.,"{'term':array(['mousepad','design','screen','keyboard'],dtype=object),'polarity':array(['neutral','positive','positive','neutral'],dtype=object),'from':array([4,30,50,70],dtype=int16),'to':array([12,36,56,78],dtype=int16)}","{'category':array(['mousepad','design','screen','keyboard'],dtype=object),'polarity':array(['neutral','positive','positive','neutral'],dtype=object)}"
91,The hardware is good. The screen is impressive. The mousepad is poor. The design is amazing.,"{'term':array(['hardware','screen','mousepad','design'],dtype=object),'polarity':array(['positive','positive','negative','positive'],dtype=object),'from':array([4,26,52,74],dtype=int16),'to':array([12,32,60,80],dtype=int16)}","{'category':array(['hardware','screen','mousepad','design'],dtype=object),'polarity':array(['positive','positive','negative','positive'],dtype=object)}"
92,The RAM is good. The keyboard is unpleasant. The mousepad is adequate.,"{'term':array(['RAM','keyboard','mousepad'],dtype=object),'polarity':array(['positive','negative','neutral'],dtype=object),'from':array([4,21,49],dtype=int16),'to':array([7,29,57],dtype=int16)}","{'category':array(['RAM','keyboard','mousepad'],dtype=object),'polarity':array(['positive','negative','neutral'],dtype=object)}"
93,The GPU is decent. The mousepad is amazing. The software is impressive.,"{'term':array(['GPU','mousepad','software'],dtype=object),'polarity':array(['neutral','positive','positive'],dtype=object),'from':array([4,23,48],dtype=int16),'to':array([7,31,56],dtype=int16)}","{'category':array(['GPU','mousepad','software'],dtype=object),'polarity':array(['neutral','positive','positive'],dtype=object)}"
94,The GPU is good. The hardware is fair. The screen is bad. The keyboard is disappointing.,"{'term':array(['GPU','hardware','screen','keyboard'],dtype=object),'polarity':array(['positive','neutral','negative','negative'],dtype=object),'from':array([4,21,43,62],dtype=int16),'to':array([7,29,49,70],dtype=int16)}","{'category':array(['GPU','hardware','screen','keyboard'],dtype=object),'polarity':array(['positive','neutral','negative','negative'],dtype=object)}"
95,The RAM is good. The mousepad is excellent. The software is bad.,"{'term':array(['RAM','mousepad','software'],dtype=object),'polarity':array(['positive','positive','negative'],dtype=object),'from':array([4,21,48],dtype=int16),'to':array([7,29,56],dtype=int16)}","{'category':array(['RAM','mousepad','software'],dtype=object),'polarity':array(['positive','positive','negative'],dtype=object)}"
96,The camera is terrible. The hardware is adequate. The mousepad is amazing.,"{'term':array(['camera','hardware','mousepad'],dtype=object),'polarity':array(['negative','neutral','positive'],dtype=object),'from':array([4,28,54],dtype=int16),'to':array([10,36,62],dtype=int16)}","{'category':array(['camera','hardware','mousepad'],dtype=object),'polarity':array(['negative','neutral','positive'],dtype=object)}"
97,The screen is impressive. The keyboard is standard.,"{'term':array(['screen','keyboard'],dtype=object),'polarity':array(['positive','neutral'],dtype=object),'from':array([4,30],dtype=int16),'to':array([10,38],dtype=int16)}","{'category':array(['screen','keyboard'],dtype=object),'polarity':array(['positive','neutral'],dtype=object)}"
98,The software is excellent. The mousepad is disappointing. The GPU is disappointing.,"{'term':array(['software','mousepad','GPU'],dtype=object),'polarity':array(['positive','negative','negative'],dtype=object),'from':array([4,31,62],dtype=int16),'to':array([12,39,65],dtype=int16)}","{'category':array(['software','mousepad','GPU'],dtype=object),'polarity':array(['positive','negative','negative'],dtype=object)}"
99,The mousepad is impressive. The design is great. The camera is impressive.,"{'term':array(['mousepad','design','camera'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object),'from':array([4,32,53],dtype=int16),'to':array([12,38,59],dtype=int16)}","{'category':array(['mousepad','design','camera'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object)}"
100,The mousepad is good. The GPU is fair. The keyboard is good.,"{'term':array(['mousepad','GPU','keyboard'],dtype=object),'polarity':array(['positive','neutral','positive'],dtype=object),'from':array([4,26,43],dtype=int16),'to':array([12,29,51],dtype=int16)}","{'category':array(['mousepad','GPU','keyboard'],dtype=object),'polarity':array(['positive','neutral','positive'],dtype=object)}"
